,WWWSEX,WWWWHITE,AGE65PLM,W12EDUC3,AGE4049M,W2TOTCL,W1FIPCOM,WWWBLACK,AGE5059M,W2FIPCOM,WWWHOMLN,AGE3039,W1TRUAM2,AGE1829,EDUCAT4,WWWBRNUS,W2CIVLIB,CENSDIV,WWWHISP,WWWEDU3,WWWAGEC1,WWWEDU5,W1STATE,AGE6064M,W12RACE4,WWWRACE4,W2SECURE,RAC3,WWWRACE3,NEWRACE,WWWAGE,COMPLET2,IMPHISP,W12OTHET,RACES,USAWT2CC,USAWT2NC,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,RHWT2CC,RHWT2RC,MULT2,W3IWER4_A
1291,-1,1,-1.0,1.0,-1.0,0.4545454545454546,-1.0,-1,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.2727272727272727,0.41935483870967727,-1,1.0,0.6666666666666667,0.5,0.709090909090909,1.0,-0.9999999999999999,-0.9999999999999999,-0.6363636363636362,-1.0,-1,-1.0,0.15068493150684925,-1.0,0.1428571428571428,-1.0,-0.9999999999999999,-0.9889142724390466,-0.9887625268367151,-0.19999999999999996,-1.0,-1.0,-1.0,-0.9944754605777825,-1.0,-1.0,1
1067,-1,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,1,1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.4545454545454546,0.29032258064516125,-1,-1.0,0.33333333333333326,-1.0,-0.5636363636363637,-1.0,-0.33333333333333326,-0.33333333333333326,-0.2727272727272727,0.0,0,0.0,0.06849315068493156,-1.0,0.1428571428571428,-1.0,-0.5999999999999999,-0.8521616525425679,-0.867245197465943,-0.8,-1.0,-1.0,-1.0,-0.8327572521714964,-1.0,-1.0,1
1240,-1,1,-1.0,1.0,-1.0,0.6363636363636365,-1.0,-1,1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.2727272727272727,-0.935483870967742,-1,1.0,0.33333333333333326,1.0,0.2727272727272727,-1.0,-0.9999999999999999,-0.9999999999999999,-0.4545454545454545,-1.0,-1,-1.0,-0.09589041095890427,-1.0,0.1428571428571428,-1.0,-0.9999999999999999,-0.542131452413299,-0.5441512485479192,-0.4,-1.0,-1.0,-1.0,-0.7718225684834694,-1.0,-1.0,1
445,-1,-1,-1.0,0.0,-1.0,0.8181818181818183,-0.1428571428571429,1,-1.0,0.9999999999999999,-1.0,-1.0,1.0,-1.0,0.3333333333333335,1.0,0.4545454545454546,0.35483870967741926,-1,0.0,0.6666666666666667,0.0,-0.0181818181818183,1.0,-0.33333333333333326,-0.33333333333333326,-0.4545454545454545,0.0,0,0.0,0.20547945205479445,-1.0,0.1428571428571428,-1.0,-0.5999999999999999,-0.3252884389398504,-1.0,-0.6000000000000001,-0.28742540231256464,-0.3942917422843111,0.04191610605877871,-0.2367297294379418,-0.28742540231244973,-1.0,1
1233,1,-1,-1.0,-1.0,-1.0,1.0000000000000002,0.1428571428571428,1,-1.0,-0.1428571428571429,-1.0,-1.0,0.6000000000000001,-1.0,-0.33333333333333326,1.0,0.4545454545454546,0.41935483870967727,-1,0.0,0.6666666666666667,-0.5,-0.23636363636363644,1.0,-0.33333333333333326,-0.33333333333333326,-0.2727272727272727,0.0,0,0.0,0.15068493150684925,-1.0,-0.9999999999999999,-1.0,-0.5999999999999999,-0.9573392068035487,-1.0,-0.8,-0.9458221125513021,-0.9872065297995798,-0.9779931634009187,-0.9726385075266795,-0.9730634402422984,-1.0,1
1155,1,1,1.0,0.0,-1.0,0.8181818181818183,-1.0,-1,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.8181818181818183,0.9999999999999998,-1,0.0,0.9999999999999998,0.0,0.8909090909090909,-1.0,-0.9999999999999999,-0.9999999999999999,-0.8181818181818181,-1.0,-1,-1.0,0.5616438356164382,-1.0,0.1428571428571428,-1.0,-0.9999999999999999,-0.796527053723102,-0.7967629022382365,-0.6000000000000001,-1.0,-1.0,-1.0,-0.8985998612281424,-1.0,-1.0,1
726,1,1,1.0,-1.0,-1.0,1.0000000000000002,0.4285714285714285,-1,-1.0,0.9999999999999999,-1.0,-1.0,0.20000000000000018,-1.0,-0.33333333333333326,1.0,0.4545454545454546,-1.0,-1,0.0,0.9999999999999998,-0.5,-0.12727272727272732,-1.0,-0.9999999999999999,-0.9999999999999999,-0.2727272727272727,-1.0,-1,-1.0,0.36986301369863006,-1.0,0.1428571428571428,-1.0,-0.9999999999999999,-0.6979665595593456,-1.0,-0.8,-0.6239063513974181,-0.7704741528616634,-0.8156041838852852,-0.8494825315364403,-0.8033303114898294,-1.0,1
377,1,1,1.0,-1.0,-1.0,0.6363636363636365,0.9999999999999999,-1,-1.0,0.4285714285714285,-1.0,-1.0,1.0,-1.0,-0.33333333333333326,1.0,-0.09090909090909083,-0.3548387096774195,-1,0.0,0.9999999999999998,-0.5,0.9636363636363636,-1.0,-0.9999999999999999,-0.9999999999999999,-0.09090909090909083,-1.0,-1,-1.0,0.45205479452054775,0.0,0.1428571428571428,-1.0,-0.9999999999999999,-0.7879992751554071,-1.0,-0.4,-0.7304216058462292,-0.7408872819410364,-0.791834768467618,-0.8943500680935316,-0.8590300607194871,-1.0,1
485,1,-1,1.0,0.0,-1.0,0.2727272727272727,-1.0,1,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.09090909090909105,-0.935483870967742,-1,0.0,0.9999999999999998,0.0,0.49090909090909074,-1.0,-0.33333333333333326,-0.33333333333333326,-0.6363636363636362,0.0,0,0.0,0.726027397260274,-1.0,0.1428571428571428,-1.0,-0.5999999999999999,-0.9654647859488209,-0.9681091773998496,0.0,-1.0,-1.0,-1.0,-0.9609318949104247,-1.0,-1.0,1
125,-1,1,-1.0,-1.0,-1.0,0.8181818181818183,0.9999999999999999,-1,-1.0,0.9999999999999999,-1.0,1.0,0.6000000000000001,-1.0,-0.33333333333333326,1.0,0.2727272727272727,0.35483870967741926,-1,0.0,-0.33333333333333326,-0.5,-0.2727272727272728,-1.0,-0.9999999999999999,-0.9999999999999999,-0.2727272727272727,-1.0,-1,-1.0,-0.589041095890411,-1.0,0.1428571428571428,-1.0,-0.9999999999999999,-0.8117896658046635,-1.0,-0.6000000000000001,-0.7640154036355276,-0.8638812403195758,-0.8906453016391874,-0.9062059386522625,-0.8765971793658269,-1.0,1
