,CL7R,CL2R,CT2BIN,CL5R,CL1R,DEMOC,MOD,CON,WWWWHITE,FEMALE,COLGRD,SOMCOL,W12WHITE,CL9R,REPUB,INDEP,AGE65PLM,COMHS,CL8R,BABS,CD4A_A,AGE4049M,CD4A_B,PTYID3,W2TOTCL,W12EDUC3,WWWBLACK,AGE5059M,LIB,VPROUD,STRATA,IDEO3,AGE3039,DOG4R,W1TRUAM2,CT1A,WWWHOMLN,COMPLET2,ADVDEG,CD7_A,CENSDIV,INCA,W2CIVLIB,PROUD,EDUCAT4,GT2,CL7,CL2,CL10R,CL5,AGE6064M,CL4A,INCOME,FIP2,WWWAGEC1,AGE1829,CL6B,P17_A,WWWEDU3,W1STATE,WWWEDU5,CL9,MEANFR,FIP1,W12HISP,WWWHISP,CL1,SEC4,B1,CL8,CD8,RAC3,W12RACE4,LOPROU,CD6,WWWAGE,V1_B,MNDOG,W2SECURE,WWWRACE4,CLPROP,WWWRACE3,POLINT,NEWRACE,B2,LTHS,IWER3,FIPCOM,DOG2R,DOG5R,DOG6R,DOG3R,DOG1R,WWWBRNUS,RI2_A,CL10,DG2,DG3,DG1,CD5A,W3IWER4_A
593,-0.10189643823579364,-1.0,1.0,-0.10189643823579364,-0.10189643823579364,-0.10189643823579364,-1.0,1.0,-1,1.0,0.10189643823579364,-1.0,0.10189643823579364,1.0,0.10189643823579364,-1.0,-1.0,-0.10189643823579364,1.0,0.10189643823579364,-0.10189643823579364,-1.0,0.10189643823579364,-0.10189643823579364,1.0000000000000002,0.10189643823579342,-1,-1.0,-1.0,1.0,0.5509482191178967,-1.0,-1.0,0.7754741095589486,-0.2815171505886349,-0.6327011872547355,-1.0,-1.0,-1.0,-0.07642232867684529,0.41935483870967727,-0.5509482191178968,0.15402824411751093,-1.0,0.4012642921571956,-1.0,-0.3703448924366892,-0.9999999999999999,1.0,-0.48679796470616776,1.0,0.0,-0.22452589044105165,-0.48679796470616776,0.6666666666666667,-1.0,-0.3264223286768453,-0.75,0.5509482191178967,-0.2222222222222222,0.05094821911789671,0.1428571428571428,0.7061609498037886,0.22452589044105165,-1.0,-1,0.0,-0.9999999999999999,-1.0,0.1428571428571428,-0.5867888356615774,-0.5509482191178967,-0.7006321460785977,-1.0,-0.043180152287248696,0.19267494762111448,-0.8877370547794742,0.7775474109558949,0.027789937700671064,-0.9999999999999999,0.17410445972201116,-1,1.0,-0.5509482191178967,-0.9999999999999999,-1.0,0.0,0.3002709197479704,0.0,0.438685273897371,-0.25,-0.1377370547794743,0.0,1.0,-1.0,0.1428571428571428,-1.0,-0.8622629452205258,-1.0,-0.3703448924366892,1
600,1.0,-0.5796519801703208,0.5796519801703208,1.0,-0.5796519801703208,-0.5796519801703208,1.0,-1.0,-1,1.0,0.5796519801703208,-1.0,-1.0,1.0,-1.0,0.5796519801703208,-1.0,-0.5796519801703208,1.0,0.5796519801703208,1.0,0.5796519801703208,-1.0,0.21017400991483948,1.0000000000000002,0.579651980170321,1,-0.5796519801703208,-1.0,-0.5796519801703208,0.0,0.0,-1.0,-0.8949129950425803,-0.7477911881021925,-0.5796519801703206,0.5796519801703208,-1.0,-1.0,0.15763050743612972,-0.3548387096774195,-1.0,0.4255810981198833,0.5796519801703208,0.719767986780214,-1.0,-0.9999999999999999,-0.7598011315258976,1.0,0.1428571428571428,-1.0,0.10508700495741974,0.3423694925638703,-0.7598011315258976,0.07005800330494671,-1.0,0.5,0.0,0.7898259900851605,-0.37037037037037035,0.2898259900851605,0.1428571428571428,0.6772869306893763,0.0,-1.0,-1,-0.7898259900851604,-0.33333333333333326,-0.21017400991483948,0.1428571428571428,-0.012717512393549457,0.0,-0.33333333333333326,-1.0,0.4154395489456624,-0.23080558386110028,-0.8025435024787099,0.15339133663828952,-0.24376291630170144,-0.33333333333333326,0.40179234049405643,0,-0.19321732672344027,0.0,-0.09734172561695931,-1.0,-1.0,0.30847199433437733,-0.5923694925638703,-0.4076305074361297,0.0,0.0,-0.5923694925638703,1.0,-1.0,0.1428571428571428,-0.6050870049574197,-1.0,-0.6050870049574197,0.1428571428571428,1
513,0.18372639447743766,-1.0,0.18372639447743766,0.18372639447743766,-1.0,0.18372639447743766,0.18372639447743766,-1.0,-1,-0.18372639447743766,0.18372639447743766,-1.0,-0.18372639447743766,-1.0,-1.0,-0.18372639447743766,-0.18372639447743766,-0.18372639447743766,0.18372639447743766,0.18372639447743766,0.18372639447743766,-1.0,-0.18372639447743766,0.5918631972387187,1.0000000000000002,0.18372639447743744,-1,0.18372639447743766,-0.18372639447743766,1.0,0.4081368027612813,0.4081368027612813,-1.0,-1.0,-0.5102358366864626,0.2108490703483752,-1.0,-1.0,-1.0,0.44389739792903926,-0.2363055519500401,-1.0,0.23932247373137505,-1.0,0.4558175963182918,-0.5918631972387188,-0.5335579397013929,-0.9999999999999999,1.0,-0.3235849174414641,-1.0,0.0,0.44389739792903926,-0.9999999999999999,0.6054245351741876,-1.0,0.0,0.30610260207096074,0.5918631972387187,-0.13303197026810076,0.09186319723871872,-0.9999999999999999,-0.3632547211045123,-0.5918631972387188,-1.0,-1,-1.0,-0.6054245351741874,0.0,-0.3235849174414641,-0.8979657993096797,-0.4081368027612813,-0.6054245351741874,-1.0,-0.11111111111111116,0.1332408483582499,-0.75,-0.6479657993096797,-0.05750429191319306,-0.9999999999999999,-0.2834283352509124,-1,1.0,-0.4081368027612813,-0.5335579397013929,-1.0,0.0,0.7667789698506963,-1.0,-0.8520342006903203,-0.75,-0.8979657993096797,-0.44389739792903915,1.0,-1.0,0.1428571428571428,-0.25,-0.3520342006903203,-0.7040684013806406,0.1428571428571428,1
629,1.0,0.21024877415289023,1.0,1.0,0.21024877415289023,-1.0,1.0,-1.0,1,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.9282044340138993,0.0,-1,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.5965837419490365,-1.0,-0.21024877415289023,-1.0,-0.6051243870764451,0.29032258064516125,-0.21024877415289023,0.6027951202235156,-1.0,0.3333333333333335,-1.0,-0.9999999999999999,-0.30842927191263403,1.0,0.1428571428571428,-1.0,0.5,0.2435945161544435,-0.9999999999999999,0.33333333333333326,-1.0,-0.40768658061466767,0.0,0.0,0.33333333333333326,0.0,0.1428571428571428,-0.2280331698870519,-0.3948756129235549,-1.0,-1,0.0,-0.19316748389807303,0.0,0.1428571428571428,-1.0,-1.0,-0.9999999999999999,-1.0,-0.5145273691620745,0.0363491385157384,-0.9012810967691113,-0.19743780646177744,-0.4927725043914345,-0.9999999999999999,0.7696558924612926,-1,0.5965837419490367,-1.0,-0.548713585230223,-1.0,-0.6051243870764451,0.6542146359563169,-0.44743780646177744,-0.8487189032308887,-0.5525621935382226,-0.44743780646177744,-0.29615670969266616,1.0,-1.0,0.1428571428571428,-0.6512810967691113,-0.6512810967691113,-0.8025621935382226,0.1428571428571428,1
635,0.956950389451604,-1.0,0.956950389451604,-0.956950389451604,-0.956950389451604,0.956950389451604,-1.0,0.956950389451604,1,1.0,-1.0,0.956950389451604,1.0,-1.0,-1.0,-0.956950389451604,-1.0,-0.956950389451604,-1.0,-1.0,-1.0,-0.956950389451604,1.0,0.9784751947258021,0.8181818181818183,-0.021524805274197867,-1,0.956950389451604,-0.956950389451604,1.0,1.0,-0.956950389451604,-1.0,-0.9892375973629011,-0.18278015578064166,-0.9569503894516038,-1.0,-1.0,-1.0,0.7338563960443516,0.9847243317408914,-0.021524805274197867,0.08308188899120084,-1.0,0.31898346315053483,-1.0,-0.9754002225437737,-0.9999999999999999,1.0,-0.9754002225437737,-1.0,-0.978475194725802,-0.47309399340725256,-0.9999999999999999,0.32615839824193404,-1.0,0.5,-0.717712792088703,0.0,-0.4830759115017924,-0.010762402637098933,-0.9999999999999999,0.5913900778903209,-0.978475194725802,-1.0,-1,-0.978475194725802,-0.9713002596344026,-1.0,-0.9999999999999999,0.22309399340725244,-1.0,-0.9999999999999999,-1.0,-0.7729944877168449,0.050593456806924175,-0.7553812013185495,0.24282506490860034,-0.08308188899120073,-0.9999999999999999,-0.41068755409058455,-1,0.9856501298172016,-1.0,-0.9999999999999999,-1.0,0.0,0.9877001112718867,-0.005381201318549467,-1.0,-0.25,-0.005381201318549467,-0.0161436039556484,1.0,-1.0,0.1428571428571428,-0.9946187986814505,-0.9946187986814505,-0.9892375973629011,0.1428571428571428,1
120,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0000000000000002,1.0,-1,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,-1.0,-1.0,0.0,-0.3548387096774195,-1.0,0.8181818181818183,-1.0,1.0,0.0,-0.9999999999999999,0.1428571428571428,1.0,0.1428571428571428,-1.0,0.5,0.75,-0.9999999999999999,0.0,-1.0,0.5,0.0,1.0,-0.40740740740740744,0.5,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-1,0.0,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,-1.0,-0.7777777777777778,-0.1470588235294119,-0.75,-0.25,-0.6363636363636362,-0.9999999999999999,0.6944444444444999,-1,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,0.0,0.9999999999999999,-0.25,-1.0,-1.0,-0.25,-0.25,1.0,-1.0,0.1428571428571428,-0.75,-0.75,-0.75,0.1428571428571428,1
367,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,-1,-1.0,-1.0,1.0,1.0,0.0,-1.0,-0.5,1.0,0.3333333333333335,-1.0,-1.0,-1.0,0.75,-0.935483870967742,-1.0,-0.4545454545454545,-1.0,-0.33333333333333326,0.0,0.1428571428571428,-0.9999999999999999,1.0,-0.9999999999999999,1.0,0.0,-0.25,-0.9999999999999999,0.6666666666666667,-1.0,0.5,0.0,0.0,0.2962962962962963,-0.5,-0.9999999999999999,-0.06666666666666665,-1.0,-1.0,-1,-1.0,-0.33333333333333326,-1.0,0.1428571428571428,-1.0,-1.0,-0.9999999999999999,-1.0,-0.7777777777777778,0.2941176470588234,-0.75,-0.58333333333335,0.6363636363636365,-0.9999999999999999,-0.41666666666675,-1,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,0.0,0.9999999999999999,-0.75,-0.75,-0.75,-1.0,-0.75,1.0,-1.0,0.1428571428571428,-0.5,-0.25,-0.5,0.1428571428571428,1
571,1.0,1.0,1.0,0.13620092383988425,0.13620092383988425,-0.13620092383988425,-1.0,-1.0,1,1.0,0.13620092383988425,-0.13620092383988425,1.0,-1.0,-1.0,0.13620092383988425,-1.0,-1.0,1.0,0.13620092383988425,-1.0,0.13620092383988425,1.0,0.4318995380800579,1.0000000000000002,0.5681004619199421,-1,-1.0,1.0,-0.13620092383988425,1.0,1.0,-0.13620092383988425,-1.0,-0.8272401847679769,-0.7120669746132946,-1.0,-1.0,-1.0,0.3239246535600433,0.972135513672254,-0.5681004619199421,0.5330726432872834,-1.0,0.7120669746132946,-0.5681004619199421,-0.9999999999999999,0.1428571428571428,1.0,-0.3507423292343518,-1.0,-0.3521506928799132,0.21012557739992754,0.1428571428571428,-0.1439665126933527,-1.0,0.5,0.75,0.5681004619199421,-0.8468073731911153,0.28405023095997106,-0.25960079186275786,-0.04540030794662808,-0.5681004619199421,-1.0,-1,-1.0,-0.9999999999999999,-0.4318995380800579,0.1428571428571428,-0.46012557739992765,-1.0,-0.9999999999999999,0.13620092383988425,-0.6212663587200387,-0.47596454285178513,-0.75,-0.7140083718266547,-0.35125446146910133,-0.9999999999999999,0.34403627791558256,-1,0.7120669746132946,-1.0,-0.3507423292343518,-1.0,0.0,0.18177169252568115,-1.0,-0.8579748845200145,-1.0,-0.5340502309599711,-0.75,1.0,-1.0,0.1428571428571428,-0.25,-0.6079748845200145,-0.5,0.1428571428571428,1
184,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.20000000000000018,1.0,1.0,-1.0,-1.0,-0.75,0.9999999999999998,-1.0,0.8181818181818183,-1.0,1.0,-1.0,-0.9999999999999999,0.1428571428571428,1.0,-0.9999999999999999,-1.0,-1.0,-0.25,0.1428571428571428,-0.33333333333333326,-1.0,0.5,-0.75,1.0,-0.8148148148148148,0.5,-0.9999999999999999,-0.33333333333333326,0.0,-1.0,-1,-1.0,-0.9999999999999999,-1.0,0.1428571428571428,-1.0,-1.0,-0.9999999999999999,-1.0,-0.11111111111111116,-0.47058823529411775,-1.0,0.25,-0.6363636363636362,-0.9999999999999999,0.13888888888899986,-1,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.1428571428571429,-0.25,-0.25,-1.0,-0.75,0.0,1.0,-1.0,0.1428571428571428,-0.75,-0.5,-1.0,0.1428571428571428,1
510,0.8989785174141425,1.0,0.8989785174141425,1.0,1.0,-0.8989785174141425,1.0,-1.0,-1,-0.8989785174141425,-0.8989785174141425,0.8989785174141425,0.8989785174141425,1.0,-1.0,0.8989785174141425,-1.0,-1.0,1.0,-0.8989785174141425,-0.8989785174141425,-0.8989785174141425,0.8989785174141423,0.050510741292928873,1.0000000000000002,0.050510741292928873,-1,-1.0,-1.0,0.8989785174141425,0.9494892587070711,0.0,-1.0,-1.0,-1.0,-0.26598567827609476,-1.0,-0.8989785174141423,-1.0,0.037883055969696544,-0.3548387096774195,-0.8989785174141425,0.7998142758934808,-0.8989785174141425,0.36700716086195273,-0.9494892587070712,-0.942273438522367,0.1428571428571428,1.0,0.1428571428571428,0.8989785174141425,-0.8989785174141425,0.050510741292928873,-0.9999999999999999,0.6329928391380475,-1.0,-0.9242338880606069,0.0,0.050510741292928873,-0.40740740740740744,0.025255370646464437,0.1428571428571428,-0.8262580736323235,-0.9494892587070712,-1.0,-1,0.0,0.29965950580471423,-0.050510741292928873,0.1428571428571428,-0.9873723146767678,-0.9494892587070711,-0.9663261724713806,-1.0,-0.7104301227205395,0.2599486161841953,-0.75,-0.4335035804309606,-0.6179960940752985,-0.9999999999999999,0.9747446293535358,-1,0.9663261724713808,-0.9494892587070711,0.08513058137951002,-1.0,-0.050510741292928873,0.9711367192611834,-0.9873723146767678,-0.28788305596969654,-0.9747446293535356,-0.7626276853232322,-0.28788305596969654,1.0,-1.0,0.1428571428571428,-0.2626276853232322,-0.4873723146767678,-0.7247446293535356,0.1428571428571428,1
