,CENSDIV,MULT3,W1STATE,W2TOTCL,WWWAGEC1,WWWSEX,WWWAGE,W12SEX,W12EDUC3,W1AGECAT,CENSREGN,W2CIVLIB,W12AGEC1,W2FIPCOM,WWWEDU3,WWWEDU5,W1FIPCOM,IMPHISP,AGE4049M,IMPRACE,W1TRUAM3,W1TRUAM2,AGE5059M,WWWRACE3,WWWMALE,COMPLET3,W12HISP,COMPLET2,WWWBRNUS,RAC3,WWWHISP,W2SECURE,W2MISSCL,WWWBLACK,W12RACE4,W12WHITE,WWWWHITE,MULT2,RACES,USAWT2RC,EDUCAT4,WWWRACE4,W12BLACK,HISWT2RC,WWWHOMLN,AGE65PLM,NEWRACE,W12OTHET,AGE3039,USAWT2CC,RACWT1RV,USAWT1RV,RHWT2RC,RACWT2RC,HISWT1RV,RHWT2CC,USAWT2NC,W3IWER4_A
220,0.5777300840719314,1.0,0.712431841595967,-0.1175464456416547,-0.6089288682842805,0.9999999999999999,-0.5088756160922612,0.9972133270698668,0.770164355645155,0.20042625591558752,0.6488843909240766,-1.0,0.5210885049704306,0.11939642686460253,0.8827918947946553,0.6245844794208172,-0.3626489901347525,0.4230864395093836,0.7333945917730542,0.5479738106774771,0.6394510425361918,-0.582882817013696,-0.8003542124417605,0.5745503166068697,0.37855937457851785,0.47803094539428376,1.0,0.651598175450383,-0.7317748325312954,0.5050214436807686,-0.4011690334271488,-0.34079841266367783,0.26550898779424337,-0.6998020524703413,-0.4311105842753117,-0.7542573817325712,-0.6734579634026205,0.4707319515357346,0.3173284444094327,-1.0,-0.5597868416347052,0.563203425407479,-0.5700825062122458,0.06047536618547067,-0.15125729992994152,-0.3625452868294651,-0.4300003043453815,0.0630303914013397,0.13331350251936902,-0.24304146359883183,-0.22240085982940444,-0.9782586955129667,-0.8696246885761252,-0.2712116725875222,-0.4690280111157604,-0.9350095065469837,-0.9103894079040064,0
2156,-0.5665969285057364,-0.34823678915532397,-0.6580471865577826,-0.5567641878556935,0.15565345777419592,-0.4153871512763466,-0.8446165016997556,0.3924687660075883,-0.2633008286141625,-0.48283465267418724,-0.37603030710050545,0.11107666362372559,-0.3483159119162066,-0.3304203957935885,-0.17588486963094296,-0.4498719660922498,0.09304486188264394,-0.36534613247952585,-0.16373146530687843,-0.3480182879514977,-0.289772269462244,0.13400031611184804,0.1296688895640299,-0.36213713428268823,-0.35623197785492555,-0.4756955085105341,-0.11486948341360148,-0.20068907789605472,-0.025909798717805188,-0.20917777617674715,0.3132092498959854,-0.6209163632187302,-0.3815677682332723,0.07496314647359348,0.06927475358586177,0.26486081608006684,0.21505320813296114,-0.33619442086669127,-0.4596248410633149,-0.2863102036843441,0.0027606502203532113,-0.5471885946663158,-0.08859227248586249,0.48833505938269484,0.08713449064158296,0.1944825498861117,0.05741370469236684,0.03515532238623292,-0.14017321511349617,-0.6517502177813443,-0.6426068812578967,-0.7498560833589984,-0.4852077930912916,-0.541289765045092,-0.6469100626049904,-0.7645618900594308,-0.8374839754921444,0
1387,-0.4075663864268956,1.0,0.2810796039899175,-0.1175464456416547,0.13148905577732184,0.9999999999999999,-0.05621293126458282,0.9972133270698668,0.770164355645155,0.6002131279577937,-0.05334682722777018,-1.0,0.7605442524852154,0.11939642686460253,0.8827918947946553,0.6245844794208172,-0.10770858618865342,0.7527513312183074,1.0,0.5479738106774771,1.0,-0.21859968067752789,-0.8003542124417605,0.5745503166068697,0.37855937457851785,0.47803094539428376,0.7975285013251896,0.651598175450383,-0.7317748325312954,0.5050214436807686,-0.5218144129627602,-0.34079841266367783,0.26550898779424337,-0.6998020524703413,-0.7461083748647185,-0.36389464059820753,-0.5226684727977805,0.4707319515357346,0.3173284444094327,-1.0,-0.5597868416347052,-0.310389723777563,-0.5700825062122458,0.06047536618547067,-0.49270116904707595,-0.3625452868294651,-0.4300003043453815,0.0630303914013397,0.13331350251936902,-0.24304146359883183,-0.08063605145049998,-0.692067765145948,-0.8696246885761252,-0.2712116725875222,-0.3176760582433732,-0.9350095065469837,-0.9103894079040064,0
328,1.0,0.29813558081006397,-0.7973009900252066,-0.1175464456416547,0.8719069798389241,0.9999999999999999,0.7413356086698981,0.9972133270698668,0.5403287112903098,0.9999999999999999,1.0,-1.0,1.0000000000000002,0.11939642686460253,0.8827918947946553,0.4368767191312258,-0.10770858618865342,0.7527513312183074,0.7333945917730542,0.7739869053387385,0.7596340283574612,-0.46145510490164,-0.8003542124417605,0.7872751583034349,0.37855937457851785,0.739015472697142,0.7975285013251896,0.8257990877251915,-0.7317748325312954,0.7525107218403844,-0.5218144129627602,-0.34079841266367783,0.26550898779424337,-0.310380266511064,-0.5886094795700151,-0.7542573817325712,-0.6734579634026205,1.0,0.4538627555275462,-1.0,-0.7699569390477985,0.12640685081495795,-0.08194729487776231,0.06047536618547067,-0.49270116904707595,0.22273345900657815,-0.2635704411353377,0.0630303914013397,0.13331350251936902,-0.24304146359883183,-0.2187972295391139,-0.9864483876936055,-0.8696246885761252,-0.2712116725875222,-0.47780154026951344,-0.9350095065469837,-0.9103894079040064,0
2173,-0.5568534538343725,-0.073220758482608,-0.6259831240805522,-0.5180164719454746,0.14173752832184194,-0.647118385990746,-0.8004654827255975,0.49030199735716895,-0.671552831653209,-0.4624471906221157,-0.3359259892063633,0.2814060752467855,-0.35312325326248595,-0.18906374312353874,-0.15437038575438444,-0.3398429580813701,0.3365400979911616,-0.5197719362172178,-0.35810482083495465,-0.5863993949280174,-0.44031900224061704,0.36630399111980194,0.331030968270125,-0.46741830758665137,-0.5578115188574516,-0.7329548979368721,0.066023226634629,-0.3078363879413195,-0.2490400166269644,-0.2319053989171329,0.34124964510493916,-0.6160140592579251,-0.3947009406297194,0.282435777422817,0.3202855388074436,0.27672246010845225,0.22041544598736418,-0.7021693054226296,-0.5254035673432557,0.04712961075741462,0.23807968061271012,0.12126189757094685,0.803102692585148,0.5741169545058483,0.08366380327225076,-0.32134380007244284,-0.2959499724442438,-0.2287832028610115,-0.021368526233297963,-0.6344540579900606,-0.7132566085321572,-0.5902062378178548,-0.5843665015372554,-0.5222341166747682,-0.8636380314936694,-0.595199939741329,-0.8871902409303433,0
2123,-0.7382020941723507,-0.32483442815472974,-0.7840980671669912,-0.33644771458768863,-0.33921885259736406,-0.2698687924227816,-0.8920261433190425,0.17403461170129747,-0.22305012097827048,-0.25268975552876105,-0.29401748937971095,-0.18649861906664134,-0.07720531284523213,-0.10989344803204848,0.10343175771861723,-0.13709084441873037,-0.2276398703241217,-0.14956646785505096,0.12585520167675912,-0.219123589702913,0.013716085438465253,-0.20244604389235732,-0.14291407295657432,-0.10158736309239946,-0.2632368545733995,-0.25486322234786535,0.2829989175269876,0.11216280300102244,-0.3233058242338006,-0.1564037752773771,0.03896156306535392,-0.4313810544972354,-0.14226508535643967,-0.13014276266770008,-0.2793757157244344,-0.2249285969030861,-0.1500275627452634,-0.16745804002927295,-0.19311824498743152,-0.29632662355014683,-0.2734570021719259,-0.4055693020185004,0.0751413048430758,0.34099914668117554,0.023839097650590335,0.033641355695621766,-0.22787556884711158,0.08670828616333005,-0.08925300746373455,-0.5066846773156941,-0.484070188916056,-0.7152634111708751,-0.6512640833691604,-0.5316103939277632,-0.6733423007581941,-0.7877097502183783,-0.8273785026105644,0
2302,-0.4515028107233723,-0.710503856507493,-0.5520233697156098,-0.7652296995351622,0.5209066514133507,-0.5845178223859951,-0.8168530338853048,0.6895458631756387,-0.41342868391916454,-0.7254137932677873,-0.6594375006566198,0.37881981904892537,-0.5942761930795262,-0.7254981072204558,-0.5730633379220211,-0.6649704974682771,0.37462266206080963,-0.49913974231725833,-0.4189323411635739,-0.5462035030891607,-0.5043580796827078,0.4386216041154932,0.39096276778527794,-0.5370440764457585,-0.27442306162668273,-0.3655973900452134,-0.5706513490749547,-0.5758072489074191,0.5282279173128268,-0.624611172310211,0.5594340876186414,-0.8019317501294886,-0.6465437520329127,0.46201157217963595,0.36852026642364255,0.4695816478405216,0.6312940005609438,-0.42055595490342224,-0.6483597213261293,-0.242004761112378,0.10862608802056406,-0.46194334847140156,-0.5350109978121047,0.5574105437553044,0.25197073075902987,0.5186359360849093,0.4943585992509769,0.2477270298377591,-0.4701886997579534,-0.7791017114201947,-0.7494647509947614,-0.6742453179922623,-0.4170745610559639,-0.67883843111171,-0.6251719474980985,-0.7874901987173288,-0.7566734191859569,0
2128,-0.31594235780694324,-0.3071799435442958,-0.4137239778857458,-0.8900540343254265,0.8219678747551051,-0.9601612475279386,-0.7317373203204507,0.9395029680245826,-0.9407462650989951,-0.9276300317245477,-0.5766640608365413,0.8868699961859321,-0.869741099769346,-0.8552565175627758,-0.870644716899228,-0.7899796382721003,0.8713694595509288,-0.892941737014707,-0.83090776439282,-0.919883895670347,-0.8955639130577804,0.8548696025599184,0.8394714160427418,-0.8808974308972053,-0.8168113444595566,-0.7883044969651392,-0.673645972238796,-0.8890226242923134,0.8125580904570817,-0.8398931235361708,0.8980433465494306,-0.9209842991720718,-0.9306584468074472,0.9848028810574087,0.899619718335576,0.6447589829042074,0.9063215745408997,-0.9769306835927629,-0.885096638061861,0.3008942637737124,0.7222728804793315,0.09392878672493965,0.41833722635815906,0.7913524293291869,0.4930692081144107,0.5211029569749087,0.3894346758747479,-0.05119057150121313,-0.39367360543827357,-0.9241440144232584,-0.9532146345934539,-0.4899904819470319,-0.31253087065524077,-0.7668329340922723,-0.8706511151445283,-0.6469174602919583,-0.8017961181013752,0
1595,0.4838923249768049,1.0,-0.5816248712221818,-0.1175464456416547,0.6251010051517234,0.9999999999999999,0.37489438761892036,0.9972133270698668,0.770164355645155,0.8667377093192645,0.6488843909240766,-1.0,0.920181417495072,0.11939642686460253,0.8827918947946553,0.6245844794208172,-0.10770858618865342,0.7527513312183074,0.7333945917730542,0.5479738106774771,1.0,-0.21859968067752789,-0.8003542124417605,0.5745503166068697,0.37855937457851785,0.47803094539428376,0.7975285013251896,0.651598175450383,-0.7317748325312954,0.5050214436807686,-0.5218144129627602,-0.34079841266367783,0.26550898779424337,-0.6998020524703413,-0.7461083748647185,-0.36389464059820753,-0.5226684727977805,0.4707319515357346,0.3173284444094327,-1.0,-0.5597868416347052,-0.310389723777563,-0.5700825062122458,0.06047536618547067,-0.49270116904707595,-0.3625452868294651,-0.4300003043453815,0.0630303914013397,0.13331350251936902,-0.24304146359883183,-0.23264621148035103,-0.9989417321175403,-0.8696246885761252,-0.2712116725875222,-0.48459717369371985,-0.9350095065469837,-0.9103894079040064,0
2064,-0.6898147399997421,-0.23416740522648816,-0.7375643550032961,-0.45645137794820717,-0.2177024936813695,-0.31794164635902245,-0.8728394139692122,0.1004058533526116,-0.2339803316812925,-0.3106074686924626,-0.2512952309541645,-0.09964268376217589,-0.1974965195606816,-0.18915360268767667,-0.032470104458553584,-0.2722575328502812,-0.11975434619394398,-0.20916558384498163,0.033755811468591856,-0.28234005424783304,-0.06179719969296826,-0.06922807492994343,-0.019978999445551482,-0.15910497514358013,-0.3077833138267887,-0.3545415700982939,0.10513379142448132,0.08927349031211596,-0.1806886121280915,-0.18178484072233547,0.14451597261122673,-0.46272957227318023,-0.2538320825776441,-0.097324331678871,-0.211470824399972,0.05116629401546746,-0.050059507020613236,-0.08572915238515205,-0.29691618885291493,-0.2545012872019816,-0.11262599552035413,-0.5481116042145471,-0.038774375969194974,0.3888718710594622,0.19843378658878985,0.11384154726493251,-0.016252281449561812,0.21477755146593294,-0.19140096395875394,-0.5537445733353125,-0.5033101910270861,-0.6711223000219193,-0.5606147587949672,-0.6026796653993911,-0.6477701020703555,-0.7574941809887596,-0.779403440530168,0
