,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,W3IWER4_A
1348,0.234455138844738,0.942138866115911,0.955969848635717,0.9855154816330003,0.761257318862424,-0.9944609346547325,0.8302071398497641,-0.8879226868715784,-0.32334176628784145,-0.6213892673375739,1
1769,-0.9953395998116983,-0.35720022702907217,0.021494506392762125,-0.7507100698300717,-0.1437916830218785,-0.8232772468032427,-0.7693089134664595,0.745103723170091,0.8302757808151046,0.31292083003843374,1
122,0.34919977531482416,0.9669364949233779,0.4569614665071776,0.9855154816330003,0.7953634161677919,-0.9944609346547325,0.823227248155853,-0.5825100705268775,-0.32334176628784145,-0.6382787388723403,1
1276,-0.09228765267223105,0.942138866115911,0.7358190918143025,0.9855154816330003,0.65893902694632,-0.9944609346547325,0.8302071398497641,-0.7437000624865808,-0.32334176628784145,-0.6213892673375739,1
1761,-0.9959245656463759,-0.19225565996090044,-0.01272964913081226,-0.5270506160274326,-0.07846360018316972,-0.8460074901963799,-0.5744146939628525,0.5227199061940055,0.6863910279762951,0.20312869883422768,1
1795,-0.9994990849738415,0.7755308538815666,-0.24810152192893936,0.7751796309250301,0.31138328923009784,-0.9805406875900712,0.6014014526801073,-0.8048206022019969,-0.18164329177540034,-0.532979413008976,1
1460,-0.3820886225805512,0.942138866115911,0.9068081378397687,0.9855154816330003,0.5679894341320053,-0.9972304673273662,0.8162473564619418,-0.8471180030848033,-0.32334176628784145,-0.616830327893169,1
519,-0.7796121173037607,0.9669364949233779,0.4069592697043055,0.9855154816330003,0.4429337440123227,-0.9944609346547325,0.8255071941925904,-0.5705743242213528,-0.3198412143044011,-0.6213892673375739,1
1480,-0.09231420574207927,0.9894660123544228,0.33820532581925233,0.9855154816330003,0.65893902694632,-0.9944609346547325,0.8238656628962328,-0.5292800912309976,-0.3091722387995333,-0.6060445887677792,1
322,-0.0507008868927501,0.942138866115911,0.3835778809000395,0.9855154816330003,0.6703077260481094,-0.9944609346547325,0.8302071398497641,-0.5570590191648193,-0.32334176628784145,-0.6213892673375739,1
1539,0.4265698075921456,0.9669364949233779,0.527451776518102,0.9855154816330003,0.8200450790650433,-0.9944609346547325,0.8278197502523045,-0.6402234370370032,-0.32334176628784145,-0.6522797881781581,1
1777,-0.9972036101540758,0.15989607113577609,-0.09192757883492253,-0.056083968478668034,0.061254014209746244,-0.8947156571989973,-0.1522226275095675,0.04426219899363959,0.37452229728831954,-0.05319008684843651,1
180,-0.11068598622388626,0.9917341237308446,0.5303450521143158,0.9855154816330003,0.6475703278445306,-0.9972304673273662,0.8302071398497641,-0.6418958570383472,-0.3181430947508576,-0.6044997958028075,1
1609,-0.9971887195025347,0.160073595257615,-0.08826397028421643,-0.05523736588460082,0.06069699375052012,-0.8944888915690938,-0.15597276432649732,0.04627399296549095,0.3769924912528837,-0.04331781499098131,1
1536,-0.09243870175156566,0.9669364949233779,0.16927546696794404,0.9855154816330003,0.65893902694632,-0.9944609346547325,0.8195955792256967,-0.4291147351455278,-0.32334176628784145,-0.6342278369715396,1
7,-0.018404009454933257,0.942138866115911,0.2661641439286184,0.9855154816330003,0.6816764251498987,-0.9944609346547325,0.8162473564619418,-0.48918954886599675,-0.32334176628784145,-0.6213892673375739,1
69,-0.37947584148445823,0.9669364949233779,0.4863149007500329,0.9855154816330003,0.5679894341320053,-0.9944609346547325,0.8302071398497641,-0.5994774381015832,-0.32334176628784145,-0.6382787388723403,1
1545,0.09027490827163187,0.9528303281399132,0.6935451994790044,0.9855154816330003,0.7142170199133426,-0.9960363872956182,0.8302071398497641,-0.7265796497620245,-0.32334176628784145,-0.6359530100987405,1
1369,-0.8161005935426736,0.942138866115911,0.17810384120005268,0.9855154816330003,0.4315650449105334,-0.9944609346547325,0.823227248155853,-0.42132007856717435,-0.32334176628784145,-0.6382787388723403,1
