,W2TOTCL,W2FIPCOM,W2CIVLIB,CENSDIV,W12AGEC1,WWWAGE,W1STATE,W1AGE,AGE3039,COMPLET2,WWWSEX,CENSREGN,RACWT1RV,WWWMALE,W1FIPCOM,W2SECURE,WWWAGEC1,W12OTHET,EDUCAT4,WWWEDU3,W1TRUAM3,IMPHISP,USAWT2CC,W12BLACK,WWWHISP,RAC3,WWWEDU5,AGE65PLM,WWWBRNUS,W12EDUC3,USAWT1RV,RACES,W1AGECAT,WWWWHITE,WWWBLACK,W12RACE4,WWWRACE3,NEWRACE,W12SEX,W1TRUAM2,USAWT2RC,AGE4049M,MULT3,WWWRACE4,AGE6064M,RHWT2RC,IMPRACE,HISWT1RV,W2MISSCL,COMPLET3,W12HISP,RHWT2CC,WWWHOMLN,USAWT2NC,W3IWER4_A
1340,-1.0,-1.0,-1.0,0.9476856105887475,0.7681953079918906,0.19350012623026225,0.23636363636363633,0.17609869362963604,-0.9634884245218476,0.7392628237306347,0.2637153536668091,1.0,-0.9995330805619294,-1.0,0.2685914683158319,-1.0,-0.07831400790151233,-0.9389639993619713,-0.3646758962663542,0.46088734598090497,0.05458348489037271,0.6625086923049317,-0.9982437119494596,0.7958112094671186,-0.027476290697443728,0.7449980313864363,0.8214358496967227,0.708511953092628,0.13780351868264373,0.5689242453756422,-0.5658932233499936,0.5292626776624012,0.012773026230432916,0.44468799823566874,-0.07590493005373733,0.3942317441053281,-0.45258158928173214,0.16740517582056536,-0.2621565480502535,-0.3820139910464343,-0.5846042255197741,-0.4057020928021797,-0.4334229097098963,-0.5779270425386307,-0.008364528810483662,-1.0,-0.6819308829041457,-0.7336625745882801,0.2916835080080188,0.12639327314010557,0.13297732962729625,-0.9987287898485138,0.2878742113520909,-0.5810440612555023,0
1512,-0.09090909090909083,-0.1428571428571429,-0.09090909090909083,-0.09860217763630019,0.5363906159837812,-0.2860403392544465,0.9636363636363636,-0.31378856961760737,-0.6658289487123399,0.8696314118653172,-0.7185603514203148,0.6558487885877424,-0.9427513062950815,-0.8735418722140676,-0.571250747301847,-0.8897463318997365,-0.5247267134359355,-0.9389639993619713,-0.5221511090310806,0.3909370844502634,0.2240595025394913,0.6625086923049317,-0.9601236060086267,0.7958112094671186,-0.027476290697443728,0.7449980313864363,0.7234181284470733,0.708511953092628,0.13780351868264373,0.46068120352583514,-0.44988779734828677,0.5292626776624012,-0.08501268429341219,0.44468799823566874,-0.07590493005373733,0.3942317441053281,-0.45258158928173214,0.16740517582056536,-0.5897094613584006,-0.3378648372572146,-0.4480897126065178,-0.4057020928021797,-0.4334229097098963,-0.5779270425386307,-0.008364528810483662,-0.9098990353774796,-0.6819308829041457,-0.6390025404963526,1.0000000000000002,0.3047962070729382,0.13297732962729625,-0.931173675418384,0.2878742113520909,-0.5810440612555023,0
1963,-0.673827518116344,-0.13841669900076736,-0.443645260550759,-0.6148464111771258,-0.22111249455555448,-0.8958158502987522,-0.49487731240012434,-0.7662090221091689,-0.6155052917784771,0.43521397890096597,-0.2693255002094269,-0.17646424126845234,-0.25381167776471736,-0.31622232248091287,-0.6197727630287966,-0.2022954022663399,-0.3615941728099954,-0.3193663923105041,-0.3667394079166214,0.5307586898561828,0.2676972626152094,-0.19871502003208108,-0.2606177386261965,0.1762667716537748,0.36953363119666893,0.02345823754733345,0.0596098866632474,0.870643314408825,0.42311610206475414,-0.19893004579117862,0.06574273052016544,-0.031867706765865866,0.18371859564065413,-0.2968527706544991,0.3540725852849125,-0.20768310161840575,0.06402178869254083,-0.31738166007364155,-0.020683283722048085,0.05113802458792793,-0.3296916190912222,0.1866427120413776,-0.23325891094375972,-0.18997666984635653,-0.24463183270625874,-0.733716584760087,-0.11399365929038396,-0.7703457377881681,-0.03958564823872884,0.21591415349009363,0.28566815239668786,-0.4884467204788637,0.3368228423535798,-0.5618422334221901,0
2058,-0.9074533581733704,-0.24068215915134977,-0.6119018467989834,-0.5904891799850448,-0.21228341524480127,-0.904680947767812,-0.4678846532648261,-0.7812534192514529,-0.6066840963706941,0.46051774770987197,-0.42652154755056015,-0.13258883959293322,-0.3583669111174531,-0.25047567603160814,-0.5943150138304476,-0.18763309523701877,-0.4357025173512866,-0.35360903564435964,-0.4099001826813493,0.5550262191068317,0.26913584566888443,-0.15219341470301262,-0.3357265979869771,0.23111175722216726,0.36192731172825293,0.10531766419076105,0.04517909693405431,0.7979177588843064,0.32057977647344105,-0.12307725102627298,0.003926912572286834,-0.07413761763483606,0.15286218942377083,-0.10334306298997353,0.2965059157110624,-0.04377104525655384,0.0026631100983461886,-0.25831746222939067,-0.1477734273606539,0.03873770613076355,-0.6500496083952784,-0.0015951568277004502,-0.21926046939110677,-0.11508405381069109,-0.32637379448042486,-0.709580529276239,-0.49856135731452245,-0.8662014312073512,-0.07836078908236199,0.18419669586324897,0.28413887627107615,-0.5898907493544906,0.5439458573096019,-0.5013422203566144,0
1754,-0.6038757454265247,-0.37860914639064247,-0.4401213906028053,-0.857921510492581,-0.09426433292257397,-0.9715167980780234,-0.8002036528153853,-0.9028532513678075,-0.9615238148854501,0.609576092786711,-0.4759180737456664,0.10733155925876486,-0.5260639030851402,-0.7558220491051308,-0.46415073167644477,-0.5474985902537775,-0.8502224431477376,-0.4856264535101176,-0.6467629060635536,0.5175919161370162,0.05543732916750482,0.026667559877877778,-0.5894169555968853,0.43717438858827734,0.10968123012283806,0.3465159309353454,0.32254037957380693,0.7613434433511652,0.2589445005162695,-0.06885621772234946,-0.18894983811484678,0.17114986215825922,-0.03969221089286962,-0.06680923921226117,0.257301061317384,-0.09726673772283251,-0.2169266469142172,-0.1331976101395922,-0.3849178634110027,-0.1829558640247359,-0.6512010773804529,-0.1325661824039825,-0.4739963346900668,-0.6240414485274348,-0.17384236492180358,-0.8185778455928022,-0.46858429996556616,-0.6530736454686235,0.09400908715917078,0.2731210075453782,0.3771108070743766,-0.6121712730224074,0.3416725994219989,-0.5238719199719476,0
1792,-0.6459417776627974,0.23399952479771202,-0.2943537018515846,-0.013594388078167707,-0.7069617443315455,-0.754343466743618,0.05151700106534074,-0.4248977868867888,-0.2761614646140885,0.2681082489360996,0.6576574656617766,-0.684754738649064,0.5630534686836177,0.41313631656404226,-0.8284922666773458,0.4404790582106637,0.34426056074615663,0.5750136495221484,0.16246049020955222,0.814607284433139,0.8284284343821795,-0.7381359771030976,0.5209084791538192,-0.5658930503741033,0.7500011940983718,-0.71303207587686,-0.5454162889368879,0.905380649929898,0.8149826612014481,-0.746599159285563,0.6310878976959343,-0.5327864197569107,0.7118205192940141,-0.7018671831078556,0.7684981352087841,-0.7311367395290909,0.6697140732605789,-0.7310706284538703,0.6238651546621607,0.624718130084337,-0.11986607902555851,0.5591410584958071,0.5146317642842625,0.4366358459680799,-0.6531509739767343,-0.3665040998306972,0.6576147697799803,-0.747175438537598,-0.6268202580914553,0.5349386221843494,0.1603927618295694,-0.09650712647653747,0.4094276726653051,-0.44093059640419463,0
160,-1.0,-1.0,-1.0,0.5291704952987284,0.5363906159837812,-0.22064845759744078,0.709090909090909,-0.2469857609929833,-0.6658289487123399,0.7392628237306347,0.2637153536668091,0.8279243942938713,-0.9967387205512637,-1.0,0.028636549567923664,-1.0,-0.5247267134359355,-0.9389639993619713,-0.3646758962663542,0.46088734598090497,0.2240595025394913,0.6625086923049317,-0.9982437119494596,0.7958112094671186,-0.027476290697443728,0.7449980313864363,0.772426989071898,0.708511953092628,0.13780351868264373,0.5689242453756422,-0.5601843329953285,0.5292626776624012,-0.08501268429341219,0.44468799823566874,-0.07590493005373733,0.3942317441053281,-0.45258158928173214,0.16740517582056536,-0.2621565480502535,-0.3378648372572146,-0.5846042255197741,-0.4057020928021797,-0.4334229097098963,-0.5779270425386307,-0.008364528810483662,-1.0,-0.6819308829041457,-0.7290041394251455,0.2916835080080188,0.12639327314010557,0.13297732962729625,-0.9987287898485138,0.2878742113520909,-0.5810440612555023,0
2046,-0.8608751595020293,-0.26856551851545063,-0.6823014346036044,-0.7300506117505505,-0.12422001633789614,-0.9272052331738059,-0.5730476379394531,-0.8376899606666847,-0.6869038979514142,0.4155269204055193,-0.5123310401566843,-0.07574113302547952,-0.467558853051669,-0.37077965282433434,-0.5686701245169355,-0.3129864255344339,-0.48441917451059646,-0.5528604809252875,-0.5174689826620215,0.47527292383609054,0.21803812554199914,-0.10057132226631665,-0.4355862410072613,0.3266757690827888,0.3419186507671568,0.1455613418284053,0.16453265919290927,0.8262070152702298,0.3130516382959961,-0.06009130880146729,-0.08792358641866338,0.05167144979235411,0.08962033288049137,-0.11403373862737337,0.24045438136562208,-0.014039048889777528,-0.05960554248162775,-0.20639943769505187,-0.17150972576753176,-0.06094116310631059,-0.4418789147528105,0.006471765378498806,-0.3918045472193954,-0.23962791972166841,-0.18925153273909606,-0.8469162047163518,-0.37500722529581804,-0.8260649925670752,0.06085217919036029,0.057466942341747776,0.21925491540782022,-0.6374114518366213,0.44774245080296593,-0.5589986141263603,0
1817,-0.8714225238019769,0.0029380662100655375,-0.46038803187283595,-0.3322946964793252,-0.3521427309377534,-0.8493251973009397,-0.22199075872247875,-0.6605116187516504,-0.37503703813029876,0.3873142996142872,-0.47056407555386887,-0.26048007665630046,-0.1467676849062245,0.09831048026123868,-0.7199130126347646,0.07671458839984158,0.06305509592354763,-0.3670426106052098,-0.157899721653186,0.5934852841754392,0.33042054239870305,-0.3031248370721812,-0.055368163203308174,0.04104672128962583,0.517296663089485,-0.03748536915212963,-0.16766766688986234,0.9098195875040676,0.42436682640798734,-0.19139678321073383,0.19824981700877264,-0.28379730931952385,0.2750554865709315,-0.3413403642298677,0.4211788473986856,-0.06749191588312375,0.17286605585264436,-0.4151652892575285,0.09869414923291964,0.2467872503116847,-0.6124770460885101,0.3123895749426405,-0.009675773505032015,0.167257548263531,-0.4494770158370951,-0.5366267752798415,-0.4029696621686994,-0.9659599638526007,-0.18653761595314777,0.3075726088572466,0.341150445107882,-0.45616397179112433,0.6791323268065065,-0.5342917721192371,0
1636,-1.0,-1.0,-1.0,-0.5694316823375717,0.6522929619878359,-0.024472812626423535,0.49090909090909074,-0.046577335119110996,-0.9634884245218476,0.7392628237306347,0.2637153536668091,0.48377318288161364,-0.9278932419614854,-1.0,-0.21131836917998462,-1.0,-0.3015203606687239,-0.9389639993619713,-0.6796263217958072,0.3909370844502634,0.2240595025394913,0.6625086923049317,-0.9982437119494596,0.7958112094671186,-0.027476290697443728,0.7449980313864363,0.6744092678222486,0.708511953092628,0.13780351868264373,0.35243816167602804,-0.4195327035734602,0.5292626776624012,-0.036119829031489636,0.44468799823566874,-0.07590493005373733,0.3942317441053281,-0.45258158928173214,0.16740517582056536,-0.2621565480502535,-0.3378648372572146,-0.5846042255197741,-0.222187564768517,-0.4334229097098963,-0.5779270425386307,-0.008364528810483662,-1.0,-0.6819308829041457,-0.6142328869497093,0.2916835080080188,0.12639327314010557,0.13297732962729625,-0.9987287898485138,0.2878742113520909,-0.5810440612555023,0
