,W2TOTCL,WWWSEX,MULT3,W1AGECAT,W1STATE,RAC3,CENSDIV,W2CIVLIB,WWWAGE,EDUCAT4,USAWT2CC,W1AGE,W2FIPCOM,USAWT2RC,NEWRACE,W2SECURE,WWWEDU5,W12SEX,HISWT1RV,WWWWHITE,W1TRUAM2,MULT2,W12HISP,W1TRUAM3,W1FIPCOM,WWWRACE3,WWWEDU3,AGE6064M,IMPHISP,WWWRACE4,RACWT1RV,W2MISSCL,RACES,W12RACE4,AGE3039,WWWAGEC1,WWWMALE,WWWHISP,AGE5059M,AGE65PLM,IMPRACE,CENSREGN,W12AGEC1,RHWT2RC,WWWBLACK,WWWBRNUS,USAWT1RV,AGE4049M,RHWT2CC,COMPLET3,RACWT2RC,HISWT2RC,W3IWER4_A
4045,-0.18127711509960276,-0.36025804179379806,-0.4433662744386743,-0.48627137732112335,-0.8016393141313033,-0.16371880233075042,-0.8400563030814107,-0.7932951565425092,-0.9002935092177049,-0.006381128965131877,-0.09348012544786855,-0.9344088281618215,0.4658768328418438,-0.47885203038260493,0.07283924832589961,-0.5544410223484202,0.3362609366439321,0.6940712448625601,-0.8593533841209136,-0.6896240111393506,-0.36302008246828077,-0.4754200090244999,-0.536467089098668,-0.19535361673578233,0.25041881065961535,-0.5302276921957267,-0.8030407985215587,-0.5477184150413067,-0.8997620534620696,-0.8581594467843291,-0.810193032874554,-0.7494283344735264,0.6810653399125861,0.46842822757456387,-0.6774688663910612,-0.49187331923670913,0.25988041770228465,0.6887403768527245,-0.6900103316397691,0.3071255427313868,-0.22795547095517293,-0.8439194467332765,-0.544840623431696,0.23688831931350263,-0.4962364407525925,0.40658529100616503,-0.43259663175002905,0.593278731290165,0.09604120101996697,-0.5236858088661442,-0.6994699795915318,-0.5276764427389532,1
3986,-0.0918537584259436,-0.5402760169757035,-0.755869101791916,-0.8854591659475675,-0.5992299166592685,0.5855928006272821,-0.7462844419275919,-0.8695029486709206,-0.7825385652003292,-0.3830726953716983,0.5882138419690368,-0.8861199101110565,0.5264030313613595,-0.22227539221327264,-0.24152528305926724,-0.8437147813267056,0.10920304501707623,0.8288087405546583,-0.7972221584430631,-0.5587986416403352,-0.8281236057744814,0.4928875940808115,0.007809507488583223,-0.8511178222746216,0.1033902136647788,-0.08716292067188713,-0.635495610186912,-0.2516929152077002,-0.8024491949050678,-0.7385845259301103,-0.715745184282434,-0.95193187817985,0.9613374098452248,0.9167146486607471,-0.9295432587299035,-0.4687129313541261,0.03393973231614589,0.8356573366345277,-0.8642201693749804,0.7878017652951794,-0.6395014087342851,-0.8269725596746309,-0.0793670082622413,0.05796711715617325,-0.8965925095710641,0.885172048132525,-0.8505553564082016,0.8883437837905546,0.1289427560401104,-0.4528955933041092,-0.9394095551091356,-0.5873511624363895,1
3391,1.0000000000000002,0.9999999999999999,1.0,1.0,-0.34545454545454546,-1.0,-0.050063558550295206,-0.3186625893212809,0.6035548249984486,0.7566098782069868,-0.46060306295651465,0.6077164345389496,1.0,-1.0,0.7018360633782056,0.6439104324473868,0.7367508141053177,1.0,-0.9897632873797018,-0.8499427577048129,0.18140953013814487,-0.9255866468822735,-0.9107506386068646,0.3805161031615538,0.39286354742161694,-0.8637014791510922,-0.863672834877515,-1.0,-0.7112598976246347,-0.8750563979394491,-0.7001877882166259,-0.4299382826246858,0.46788046707467146,0.13755654613931467,-0.4750175763892638,0.36617153748439246,0.732001523020672,0.5288428266893841,-0.20750061069282777,-0.14489821765036132,0.3643270157994739,-0.7609630361185271,-0.1930965570639206,0.47193209346417553,-0.04109272479762893,-0.12336658526009173,0.14606135242835228,0.2526046894454599,0.20450877483511984,0.06618024587721383,-0.3962191596594872,-0.5351627747548099,1
3957,-0.15165984730223298,-0.4100821687395558,-0.49760369388529857,-0.585906962955554,-0.7982256109064276,-0.11834039354485548,-0.8098712998658504,-0.7997698068676241,-0.8898627661701585,-0.030890490275429783,-0.06674728039584443,-0.9213426772865108,0.43874349225776127,-0.40628624988160766,-0.021456543978801035,-0.5856655386880734,0.2951717464512055,0.7594565920153574,-0.8194039431820883,-0.629753757956679,-0.38633545599756924,-0.44491004481451746,-0.6586887681239415,-0.07446575417325602,0.22526957485413907,-0.40827821590008495,-0.8000634327162393,-0.45167213701116826,-0.9300142319893375,-0.8734698354833123,-0.8861792045563044,-0.8012212943141236,0.6648035446810844,0.47910443482716325,-0.6234753004012771,-0.4222769615686834,0.17218229195186818,0.7141668878631342,-0.7328538354575896,0.4182941531796526,-0.08270836587845914,-0.8119458704821982,-0.47660874252616736,0.22881440053730936,-0.4869194497697008,0.45786863163097313,-0.5051097226735392,0.6240180821694751,0.08109972832466289,-0.6906522007424325,-0.7154714354894534,-0.45636680748169994,1
3616,0.8749827532519343,0.9999999999999999,1.0,1.0,-0.8181818181818182,-0.7045134864951879,0.8296686670345523,0.3559932529654597,0.6255795569429794,1.0,-0.9852681479491169,0.6295099659534524,1.0,-0.9887050135826835,1.0,-0.06826870265783966,0.9122502713684393,1.0,-0.9795051055407382,-1.0,0.5088457180828869,-0.9255866468822735,-0.9107506386068646,0.5353870773711654,0.8265324421204621,-0.14546299660674467,-0.72734566975503,-1.0,-0.7112598976246347,-0.6370647098473559,-0.6958788347621467,-0.36974802746979424,0.8818754340049759,0.6153038926069002,-0.4750175763892638,0.36617153748439246,0.732001523020672,0.5288428266893841,-0.20750061069282777,-0.14489821765036132,1.0,-0.5806432387168243,-0.1930965570639206,0.4744094943672192,-0.04109272479762893,-0.12336658526009173,0.1545966997517662,0.2526046894454599,0.08224164003676103,0.06618024587721383,-0.389451275983574,-0.5213900611146749,1
4310,-0.14724755611828771,-0.3356375285710674,-0.47266329529753,-0.5336799275042262,-0.8430134339766069,-0.23961634625071415,-0.8408804731480566,-0.7657187238090167,-0.9019136432366768,0.023934006482041026,-0.23772408390852862,-0.9255709082846816,0.4103258541373298,-0.530776342671383,0.14936191215436123,-0.5718057101963621,0.3348515195586538,0.7495359998177151,-0.8511388872220518,-0.661997519977561,-0.33294930938533185,-0.5448829520291418,-0.7170703715151725,0.030200605038591344,0.23003193573447314,-0.4880968284487617,-0.8004097189218207,-0.53013361579259,-0.9387690414285698,-0.9298514427969901,-0.8568236363440127,-0.8060519225446308,0.6461063740412778,0.36058027174039947,-0.6362749518228304,-0.37017526431959197,0.25863013632108456,0.5192932047619462,-0.5665984023301034,0.31323816106419533,-0.0972604370253281,-0.8694204080480654,-0.5975504220385257,0.26055964070960946,-0.41916711141238994,0.42765048007562834,-0.42385425840967206,0.6442123592644864,0.09905627953411328,-0.5884146125627905,-0.594665912222944,-0.5260531391526071,1
808,1.0000000000000002,0.10117575861996542,1.0,0.873943140635598,-0.1636363636363637,-1.0,0.3458159429628862,-0.1837314208639328,0.27318384583048916,0.7566098782069868,-0.9349888760776883,0.2808134633214079,0.6675695427954171,-0.9479052104103449,0.7018360633782056,0.5252139099298491,0.7367508141053177,0.5221514159823867,-0.9556860147856062,-0.8499427577048129,0.6725638120552581,-0.9255866468822735,-0.9107506386068646,0.690258051580777,0.8265324421204621,-0.8637014791510922,-0.863672834877515,-0.839856536518234,-0.7112598976246347,-0.8750563979394491,-0.6793933943902424,-0.4299382826246858,0.46788046707467146,0.13755654613931467,-0.4750175763892638,0.20073454381126787,0.9999999999999998,0.5288428266893841,-0.20750061069282777,-0.3014567360019338,0.3643270157994739,-0.6708031374176757,-0.3275804642199338,0.4833583735857285,-0.04109272479762893,-0.12336658526009173,0.17441543719584976,0.2526046894454599,0.09395864329708481,0.37229545756929594,-0.36366285261597553,-0.47164019998994455,1
3380,1.0000000000000002,0.9999999999999999,1.0,0.7478862812711959,-0.5636363636363637,-1.0,0.3458159429628862,0.4909244214228079,0.20710964999689718,1.0,-0.8033479345209487,0.2154328690778995,1.0,-1.0,0.7018360633782056,-0.06826870265783966,1.0,1.0,-0.9897632873797018,-0.8499427577048129,0.18140953013814487,-0.9255866468822735,-0.9107506386068646,0.3805161031615538,0.39286354742161694,-0.8637014791510922,-0.72734566975503,-1.0,-0.7112598976246347,-0.8750563979394491,-0.7001877882166259,-0.4299382826246858,0.46788046707467146,0.13755654613931467,-0.4750175763892638,0.03529755013814306,0.732001523020672,0.5288428266893841,0.07057580352971676,-0.3014567360019338,0.3643270157994739,-0.6708031374176757,-0.46206437137594714,0.47193209346417553,-0.04109272479762893,-0.12336658526009173,0.14606135242835228,0.2526046894454599,0.1246360434266497,0.06618024587721383,-0.3962191596594872,-0.5351627747548099,1
3940,-0.044452049390573095,-0.4229960983054727,-0.6826988116896242,-0.7071457578118933,-0.6550312389026989,0.23559149731200035,-0.8158947845729176,-0.89992698192129,-0.8099943263120061,-0.16088481970822688,0.3857090688261151,-0.9195031434981453,0.614945510005598,-0.4624923364616368,-0.18154486206723242,-0.7803950309777168,0.1743159469241744,0.7084428038815263,-0.8600919123250269,-0.7130510823086962,-0.8205399557563817,0.5798368197973693,-0.010206320219157239,-0.7921516311044334,0.1364945566401249,-0.31218156725479174,-0.6885683103332856,-0.3945256439293685,-0.7973193941734094,-0.7748021284838926,-0.6163627742554237,-0.872384525457915,0.8713931088109712,0.8476804146707392,-0.8987559911920504,-0.6686210206860732,0.16125751310966419,0.8290236995271588,-0.546160140184377,0.6565495413380648,-0.5424086402824159,-0.90179470353447,-0.1263489579438959,0.12731089576124788,-0.8059434363017847,0.6466193375321987,-0.7800449761643785,0.7079642914007083,0.1387376143836564,-0.3280731349217036,-0.8843639109415631,-0.6102933758523941,1
4126,-0.19105123359442672,-0.29484044990243086,-0.32829892084023404,-0.15325233179270992,-0.9275713487104936,-0.7117827803166985,-0.9279372485439468,-0.8619927911637106,-0.9814552910589863,0.2410465155954526,-0.5132835012141159,-0.9930200206802714,0.5632215463046264,-0.7110702745227695,0.20685422382868063,-0.4889853705394963,0.5336980352766,0.5507769461035206,-0.9141496782222643,-0.88055994413152,-0.12399548429993257,-1.0,-0.733623805711418,0.13632600229594172,0.3920066016289053,-0.8142545835168381,-0.9287166237985536,-0.7196342617417428,-0.9263643245807649,-0.8681603216222079,-0.7618463289939408,-0.5302409714559866,0.4309502324345642,0.15572417121190466,-0.5779989794175112,-0.8817344251462412,0.3461674682503286,0.8161386979467646,-0.39091110066024437,0.12904010866180277,0.1408964271788703,-0.8487731434912857,-0.7978101809700275,0.36737044707161237,-0.2599182615473424,-0.031203068225549746,-0.12669250529229015,0.33325970921786463,0.049737491688602364,-0.09517144822068646,-0.6290011124467584,-0.4403092005623238,1
