,COUNTY,CENSDIV,CD2,WWWBLACK,STRATA,WWWBRNUS,W1STATE,WWWAGEC1,USAWT1RV,WWWHISP,DG3,WWWAGE,WWWHOMLN,W3IWER4_A
459,-0.9761151581391938,0.7824483335877244,-0.9082415974366194,0.8791636145528259,0.8800400436346227,0.05827352675688857,0.8808704423267102,0.6562232881125152,0.8943916208551894,0.9946654695211703,-0.9713040373068426,-0.9406086142450342,-0.952874357663801,0
284,-0.6002606397676442,-0.9550626083133351,0.9414705018420413,-0.9943155003146442,-0.9980150220571952,1.0,-0.9353057626004999,0.9783560434810493,-0.7532616765898952,0.9077195928439683,-0.49357880899117434,0.031536068990378335,-0.21910046123509108,0
411,-0.9755019550718873,0.8276682296288647,-0.9449477449004826,0.9247011964286258,0.9276732142831183,0.035261103680472305,0.9275546158710555,0.649152475425146,0.9353088029740824,0.9943695993487531,-0.9839101047123524,-0.9640096764885302,-0.9708926538442446,0
464,-0.9889580282280647,-0.17780563508418834,-0.15075190524965898,-0.12123625030846408,-0.11942233798029456,0.5567070014462292,-0.12072677563154766,0.8240317701418158,0.01811719642821974,0.9479417472038955,-0.72899482555779,-0.44594296124177796,-0.5627037379555014,0
428,-0.9941289831081682,-0.5636616705908716,0.1529038038368723,-0.5257334289192502,-0.5195228468731994,0.7566818612707051,-0.522270035658039,0.8916446371859791,-0.3332152647627486,0.9225777606555783,-0.6379838906485896,-0.2478935018958913,-0.40515603295376185,0
420,-0.9755178239123493,0.8270068128804979,-0.9434739689931908,0.921674019929924,0.9278762674467012,0.03473029800888161,0.9296367247199784,0.6509142834458673,0.9342518297759843,0.992330120962689,-0.9867328790040775,-0.9639976588599061,-0.9698111974197763,0
62,-0.560806840591406,-0.9550626083133351,0.678087760131227,-1.0,-1.0,1.0,-0.9288363388605498,0.9999999999999999,-0.7534367958648625,0.9077195928439683,-0.5054954114121024,0.09958129609859624,-0.21910046123509108,0
9,-0.5243348031962289,-0.9550626083133351,0.9063528029472661,-0.9943155003146442,-0.9980150220571952,1.0,-0.9223669151205999,0.9826848347848395,-0.7534367958648625,0.9077195928439683,-0.4995371102016384,0.04311823530667075,-0.21910046123509108,0
38,-0.05067103539007245,-0.9775313041566676,0.9414705018420413,-1.0,-0.9960300441143902,1.0,-0.8382644065012497,0.9783560434810493,-0.7506485236164663,0.9077195928439683,-0.49357880899117434,0.031536068990378335,-0.21910046123509108,0
41,-0.12637869427019055,-0.9550626083133351,0.9297646022104495,-1.0,-0.9960300441143902,1.0,-0.8512032539811497,0.9826848347848395,-0.7483961878476006,0.9077195928439683,-0.49357880899117434,0.03443161056945144,-0.21910046123509108,0
